ego_id,circle_count
111058843129764709244,2
103251633033550231172,2
114054672576929802335,2
111048918866742956374,5
106382433884876652170,10
104290609881668164623,2
104987932455782713675,3
100637660947564674695,2
114122960748905067938,2
114124942936679476879,2
110971010308065250763,5
117412175333096244275,4
114147483140782280818,3
113597493946570654755,2
112463391491520264813,2
116825083494890429556,3
106417861423111072106,2
103236949470535942612,14
100500197140377336562,2
118107045405823607895,5
100720409235366385249,2
112573107772208475213,2
105646458226420473639,2
107965826228461029730,2
102340116189726655233,2
113356364521839061717,3
118379821279745746467,12
117503822947457399073,3
103338524411980406972,2
101560853443212199687,1
101848191156408080085,2
106186407539128840569,4
103241736833663734962,2
115516333681138986628,2
103752943025677384806,2
109342148209917802565,2
108156134340151350951,2
109602109099036550366,2
117866881767579360121,2
110538600381916983600,3
117668392750579292609,8
106724181552911298818,2
109596373340495798827,6
101541879642294398860,5
106328207304735502636,1
116450966137824114154,2
101626577406833098387,6
110581012109008817546,2
113881433443048137993,7
117734260411963901771,5
117798157258572080176,2
101997124338642780860,2
114336431216099933033,2
108883879052307976051,3
100329698645326486178,2
104105354262797387583,10
115360471097759949621,6
116899029375914044550,2
118255645714452180374,2
107040353898400532534,5
102778563580121606331,4
109327480479767108490,3
112317819390625199896,3
104076158580173410325,2
111091089527727420853,15
113799277735885972934,2
103537112468125883734,2
107362628080904735459,2
108541235642523883716,2
101263615503715477581,4
105565257978663183206,2
104917160754181459072,2
103503116383846951534,2
100518419853963396365,2
109213135085178239952,2
116247667398036716276,3
111213696402662884531,1
115273860520983542999,1
102615863344410467759,4
110232479818136355682,1
100129275726588145876,2
102170431816592344972,3
107459220492917008623,4
110739220927723360152,2
110809308822849680310,3
107296660002634487593,2
100521671383026672718,2
110701307803962595019,5
101185748996927059931,3
104672614700283598130,6
112724573277710080670,3
100466178325794757407,2
106228758905254036967,4
112737356589974073749,2
113171096418029011322,2
107223200089245371832,24
101130571432010257170,4
113112256846010263985,8
115121555137256496805,7
104905626100400792399,2
116059998563577101552,2
109130886479781915270,2
115625564993990145546,31
115455024457484679647,3
116807883656585676940,3
107013688749125521109,2
108404515213153345305,2
104226133029319075907,2
107203023379915799071,4
112787435697866537461,2
100962871525684315897,3
110614416163543421878,3
110241952466097562819,2
100715738096376666180,2
113455290791279442483,2
101133961721621664586,1
101373961279443806744,3
113718775944980638561,2
106837574755355833243,5
116315897040732668413,3
116931379084245069738,4
114104634069486127920,2
107489144252174167638,3
100668989009254813743,2
115576988435396060952,2
101499880233887429402,2
104607825525972194062,3
103892332449873403244,6
100535338638690515335,4
115573545440464933254,2
113122049849685469495,2
